,Номенклатура,КоличествоОборот,СуммаВыручкиБезНДСОборот,Себестоимость,Месяц,"Высота профиля, %","Высота шины, мм",Индекс нагрузки,Комплектность,Максимальная нагрузка,Наружный диаметр шины,Норма слойности,"Посадочный диаметр, дюйм",Предполагаемый контрагент,Сезон,Ширина профиля,Страна происхождения,Сезонная группа,МесяцГод,ОстаткиПередМесяцем,ОстаткиПослеМесяца,Прогноз
0,49775,0.0,0.0,[],1,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[1, 2017]",0,0,0
1,49775,0.0,0.0,[],2,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[2, 2017]",0,0,0
2,49775,0.0,0.0,[],3,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[3, 2017]",0,0,0
3,49775,0.0,0.0,[],4,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[4, 2017]",0,0,0
4,49775,0.0,0.0,[],5,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[5, 2017]",0,0,0
5,49775,0.0,0.0,[],6,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[6, 2017]",0,0,0
6,49775,0.0,0.0,[],7,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[7, 2017]",0,0,0
7,49775,6.0,1771.14,['1569.36'],8,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[8, 2017]",0,0,0
8,49775,2.0,603.3299999999999,"['264.48', '264.48']",9,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[9, 2017]",0,0,0
9,49775,0.0,0.0,[],10,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[10, 2017]",0,0,0
10,49775,1.0,287.5,['270.43'],11,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[11, 2017]",0,0,0
11,49775,8.0,2354.32,['2168.82'],12,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[12, 2017]",0,0,0
12,49775,0.0,0.0,[],1,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[1, 2018]",0,0,0
13,49775,4.0,1184.0,['1108.07'],2,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[2, 2018]",0,0,0
14,49775,6.0,1818.5,"['554.03', '554.03', '544.65']",3,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[3, 2018]",0,0,0
15,49775,16.0,5004.84,"['1623.15', '541.05', '541.05', '1604.86']",4,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[4, 2018]",0,0,0
16,49775,57.0,17331.83,"['534.95', '1069.91', '267.48', '534.95', '541.05', '1069.92', '1034.24', '1034.24', '517.12', '1034.24', '1551.35', '517.12', '2585.59', '1541.99', '1024.87']",5,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[5, 2018]",0,0,0
17,49775,43.0,13063.720000000001,"['1034.24', '1535', '1024.94', '1029.62', '1029.62', '514.81', '1027.04', '513.52', '256.76', '1026.99', '513.49', '1537.96']",6,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[6, 2018]",0,0,0
18,49775,62.0,17243.52,"['1016.94', '1016.94', '5105.4', '510.91', '2045.76', '517.12', '1007.54', '503.77', '3022.63', '515.96', '503.77']",7,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[7, 2018]",0,0,0
