,Номенклатура,ДатаПонедельника,МесяцГод,КоличествоОборот,СуммаВыручкиБезНДСОборот,Себестоимость,Месяц,"Высота профиля, %","Высота шины, мм",Индекс нагрузки,Комплектность,Максимальная нагрузка,Наружный диаметр шины,Норма слойности,"Посадочный диаметр, дюйм",Предполагаемый контрагент,Сезон,Ширина профиля,Страна происхождения,Сезонная группа,ОстаткиПередНеделей,ОстаткиПослеНедели,Прогноз
0,49775,2016-12-26,"[0.2857142857142857, 2017]",0.0,0.0,[],0.2857142857142857,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
1,49775,2017-01-02,"[1, 2017]",0.0,0.0,[],1.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
2,49775,2017-01-09,"[1, 2017]",0.0,0.0,[],1.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
3,49775,2017-01-16,"[1, 2017]",0.0,0.0,[],1.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
4,49775,2017-01-23,"[1, 2017]",0.0,0.0,[],1.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
5,49775,2017-01-30,"[1.8571428571428572, 2017]",0.0,0.0,[],1.8571428571428572,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
6,49775,2017-02-06,"[2, 2017]",0.0,0.0,[],2.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
7,49775,2017-02-13,"[2, 2017]",0.0,0.0,[],2.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
8,49775,2017-02-20,"[2, 2017]",0.0,0.0,[],2.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
9,49775,2017-02-27,"[2.857142857142857, 2017]",0.0,0.0,[],2.857142857142857,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
10,49775,2017-03-06,"[3, 2017]",0.0,0.0,[],3.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
11,49775,2017-03-13,"[3, 2017]",0.0,0.0,[],3.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
12,49775,2017-03-20,"[3, 2017]",0.0,0.0,[],3.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
13,49775,2017-03-27,"[3.4285714285714284, 2017]",0.0,0.0,[],3.4285714285714284,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
14,49775,2017-04-03,"[4, 2017]",0.0,0.0,[],4.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
